Task_Number,Device_ID,Workload_Type,Source_Node,Destination_Node,Destination_Layer,Offloading_Path,Processing_Time_ms,Communication_ms,Queue_Wait_ms,Total_Latency_ms,Deadline_ms,Deadline_Met
237,D8,Video Processing,IoT8,Edge7,Edge,IoT -> Edge,91.2,35.0,0.0,126.2,120.0,No
238,D7,Data Analytics,IoT7,Edge8,Edge,IoT -> Edge,90.8,28.0,0.0,118.8,500.0,Yes
239,D3,Image Processing,IoT3,Fog1,Fog,IoT -> Fog,38.6,64.0,14.47,117.07,300.0,Yes
240,D16,Data Analytics,IoT16,Cloud1,Cloud,IoT -> Cloud,26.3,95.0,0.88,122.18,500.0,Yes
241,D5,Video Processing,IoT5,Edge1,Edge,IoT -> Edge,43.2,26.0,0.0,69.2,120.0,Yes
242,D2,Data Analytics,IoT2,Fog1,Fog,IoT -> Fog,48.0,74.0,0.0,122.0,500.0,Yes
243,D4,Network Traffic,IoT4,Fog2,Fog,IoT -> Fog,36.2,81.0,0.0,117.2,150.0,Yes
244,D4,Data Analytics,IoT4,Fog3,Fog,IoT -> Fog,57.2,67.0,0.0,124.2,500.0,Yes
245,D5,Video Processing,IoT5,Fog1,Fog,IoT -> Fog,43.6,65.0,5.45,114.05,120.0,Yes
246,D4,Network Traffic,IoT4,Fog2,Fog,IoT -> Fog,51.4,67.0,6.42,124.82,150.0,Yes
247,D14,Video Processing,IoT14,Edge2,Edge,IoT -> Edge,44.8,22.0,0.0,66.8,120.0,Yes
248,D18,Network Traffic,IoT18,Fog3,Fog,IoT -> Fog,57.0,49.0,7.12,113.12,150.0,Yes
249,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,50.4,64.0,12.6,127.0,120.0,No
250,D12,Video Processing,IoT12,Edge3,Edge,IoT -> Edge,44.8,32.0,0.0,76.8,120.0,Yes
251,D11,Image Processing,IoT11,Edge4,Edge,IoT -> Edge,54.0,56.0,0.0,110.0,300.0,Yes
252,D12,Data Analytics,IoT12,Edge5,Edge,IoT -> Edge,33.2,20.0,0.0,53.2,500.0,Yes
253,D9,Network Traffic,IoT9,Fog2,Fog,IoT -> Fog,38.4,61.0,9.6,109.0,150.0,Yes
254,D14,Network Traffic,IoT14,Fog3,Fog,IoT -> Fog,39.0,58.0,9.75,106.75,150.0,Yes
255,D20,Network Traffic,IoT20,Edge6,Edge,IoT -> Edge,45.6,19.0,0.0,64.6,150.0,Yes
256,D6,Video Processing,IoT6,Edge7,Edge,IoT -> Edge,71.2,35.0,0.0,106.2,120.0,Yes
257,D20,Image Processing,IoT20,Cloud1,Cloud,IoT -> Cloud,24.1,103.0,0.0,127.1,300.0,Yes
258,D16,Network Traffic,IoT16,Edge8,Edge,IoT -> Edge,87.2,16.0,0.0,103.2,150.0,Yes
259,D15,Video Processing,IoT15,IoT15,IoT,IoT (local),60.0,0.0,0.0,60.0,120.0,Yes
260,D20,Image Processing,IoT20,Fog1,Fog,IoT -> Fog,49.0,54.0,18.37,121.37,300.0,Yes
261,D10,Network Traffic,IoT10,Fog1,Fog,IoT -> Fog,41.8,45.0,0.0,86.8,150.0,Yes
262,D1,Image Processing,IoT1,Fog2,Fog,IoT -> Fog,42.4,49.0,0.0,91.4,300.0,Yes
263,D15,Image Processing,IoT15,Fog3,Fog,IoT -> Fog,58.4,67.0,0.0,125.4,300.0,Yes
264,D16,Image Processing,IoT16,Fog1,Fog,IoT -> Fog,42.4,75.0,5.3,122.7,300.0,Yes
265,D14,Network Traffic,IoT14,Edge1,Edge,IoT -> Edge,49.6,41.0,0.0,90.6,150.0,Yes
266,D1,Image Processing,IoT1,Edge2,Edge,IoT -> Edge,39.2,56.0,0.0,95.2,300.0,Yes
267,D19,Data Analytics,IoT19,Fog2,Fog,IoT -> Fog,40.0,46.0,5.0,91.0,500.0,Yes
268,D6,Data Analytics,IoT6,IoT6,IoT,IoT (local),68.0,0.0,0.0,68.0,500.0,Yes
269,D18,Video Processing,IoT18,Fog3,Fog,IoT -> Fog,59.6,64.0,7.45,131.05,120.0,No
270,D1,Image Processing,IoT1,Edge3,Edge,IoT -> Edge,48.4,21.0,0.0,69.4,300.0,Yes
271,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,38.2,55.0,9.55,102.75,120.0,Yes
272,D16,Data Analytics,IoT16,Fog2,Fog,IoT -> Fog,40.0,41.0,10.0,91.0,500.0,Yes
273,D15,Image Processing,IoT15,Fog3,Fog,IoT -> Fog,36.8,68.0,9.2,114.0,300.0,Yes
274,D2,Image Processing,IoT2,Edge4,Edge,IoT -> Edge,39.2,27.0,0.0,66.2,300.0,Yes
275,D11,Video Processing,IoT11,Edge5,Edge,IoT -> Edge,87.6,55.0,0.0,142.6,120.0,No
276,D11,Data Analytics,IoT11,Edge6,Edge,IoT -> Edge,37.2,43.0,0.0,80.2,500.0,Yes
277,D4,Network Traffic,IoT4,Edge7,Edge,IoT -> Edge,36.8,38.0,0.0,74.8,150.0,Yes
278,D13,Image Processing,IoT13,Edge8,Edge,IoT -> Edge,50.8,25.0,0.0,75.8,300.0,Yes
279,D11,Image Processing,IoT11,Fog1,Fog,IoT -> Fog,44.2,52.0,16.57,112.77,300.0,Yes
280,D10,Network Traffic,IoT10,IoT10,IoT,IoT (local),69.0,0.0,0.0,69.0,150.0,Yes
281,D12,Image Processing,IoT12,Fog1,Fog,IoT -> Fog,53.2,77.0,0.0,130.2,300.0,Yes
282,D5,Network Traffic,IoT5,Fog2,Fog,IoT -> Fog,27.2,77.0,0.0,104.2,150.0,Yes
283,D13,Image Processing,IoT13,Fog3,Fog,IoT -> Fog,24.4,81.0,0.0,105.4,300.0,Yes
284,D15,Network Traffic,IoT15,Fog1,Fog,IoT -> Fog,33.6,65.0,4.2,102.8,150.0,Yes
285,D10,Video Processing,IoT10,IoT10,IoT,IoT (local),51.0,0.0,0.0,51.0,120.0,Yes
286,D18,Data Analytics,IoT18,Fog2,Fog,IoT -> Fog,43.8,58.0,5.47,107.27,500.0,Yes
287,D7,Image Processing,IoT7,Fog3,Fog,IoT -> Fog,36.2,66.0,4.52,106.72,300.0,Yes
288,D17,Image Processing,IoT17,Fog1,Fog,IoT -> Fog,58.4,69.0,14.6,142.0,300.0,Yes
289,D8,Data Analytics,IoT8,Fog2,Fog,IoT -> Fog,51.6,62.0,12.9,126.5,500.0,Yes
290,D14,Data Analytics,IoT14,Edge1,Edge,IoT -> Edge,55.2,22.0,0.0,77.2,500.0,Yes
291,D14,Image Processing,IoT14,Fog3,Fog,IoT -> Fog,41.8,80.0,10.45,132.25,300.0,Yes
292,D2,Image Processing,IoT2,Edge2,Edge,IoT -> Edge,60.4,51.0,0.0,111.4,300.0,Yes
293,D15,Image Processing,IoT15,IoT15,IoT,IoT (local),59.0,0.0,0.0,59.0,300.0,Yes
294,D10,Network Traffic,IoT10,Edge3,Edge,IoT -> Edge,60.0,58.0,0.0,118.0,150.0,Yes
295,D10,Network Traffic,IoT10,Edge4,Edge,IoT -> Edge,80.0,43.0,0.0,123.0,150.0,Yes
296,D9,Network Traffic,IoT9,Edge5,Edge,IoT -> Edge,59.6,48.0,0.0,107.6,150.0,Yes
297,D2,Video Processing,IoT2,IoT2,IoT,IoT (local),50.0,0.0,0.0,50.0,120.0,Yes
298,D14,Image Processing,IoT14,Edge6,Edge,IoT -> Edge,84.0,45.0,0.0,129.0,300.0,Yes
299,D1,Network Traffic,IoT1,Edge7,Edge,IoT -> Edge,44.8,60.0,0.0,104.8,150.0,Yes
300,D2,Data Analytics,IoT2,Cloud1,Cloud,IoT -> Cloud,29.1,83.0,0.0,112.1,500.0,Yes
301,D10,Video Processing,IoT10,Edge1,Edge,IoT -> Edge,39.6,58.0,0.0,97.6,120.0,Yes
302,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,30.0,69.0,0.0,99.0,120.0,Yes
303,D9,Data Analytics,IoT9,Fog2,Fog,IoT -> Fog,33.0,81.0,0.0,114.0,500.0,Yes
304,D6,Image Processing,IoT6,Fog3,Fog,IoT -> Fog,57.8,70.0,0.0,127.8,300.0,Yes
305,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,40.0,84.0,5.0,129.0,120.0,No
306,D14,Image Processing,IoT14,Edge2,Edge,IoT -> Edge,45.2,25.0,0.0,70.2,300.0,Yes
307,D16,Image Processing,IoT16,Fog2,Fog,IoT -> Fog,32.2,51.0,4.02,87.22,300.0,Yes
308,D8,Data Analytics,IoT8,Edge3,Edge,IoT -> Edge,49.6,20.0,0.0,69.6,500.0,Yes
309,D18,Network Traffic,IoT18,Fog3,Fog,IoT -> Fog,51.4,45.0,6.42,102.82,150.0,Yes
310,D3,Network Traffic,IoT3,Edge4,Edge,IoT -> Edge,56.4,52.0,0.0,108.4,150.0,Yes
311,D20,Network Traffic,IoT20,Edge5,Edge,IoT -> Edge,43.2,47.0,0.0,90.2,150.0,Yes
312,D16,Video Processing,IoT16,Edge6,Edge,IoT -> Edge,31.2,30.0,0.0,61.2,120.0,Yes
313,D5,Network Traffic,IoT5,IoT5,IoT,IoT (local),52.0,0.0,0.0,52.0,150.0,Yes
314,D1,Data Analytics,IoT1,Fog1,Fog,IoT -> Fog,58.0,48.0,14.5,120.5,500.0,Yes
315,D14,Data Analytics,IoT14,Edge7,Edge,IoT -> Edge,56.4,17.0,0.0,73.4,500.0,Yes
316,D7,Network Traffic,IoT7,Fog2,Fog,IoT -> Fog,57.0,82.0,14.25,153.25,150.0,No
317,D12,Video Processing,IoT12,Edge8,Edge,IoT -> Edge,72.8,50.0,0.0,122.8,120.0,No
318,D14,Network Traffic,IoT14,Fog3,Fog,IoT -> Fog,55.2,53.0,13.8,122.0,150.0,Yes
319,D7,Data Analytics,IoT7,Fog1,Fog,IoT -> Fog,40.4,74.0,15.15,129.55,500.0,Yes
320,D13,Network Traffic,IoT13,Fog2,Fog,IoT -> Fog,48.8,44.0,18.3,111.1,150.0,Yes
321,D8,Image Processing,IoT8,Fog1,Fog,IoT -> Fog,37.2,71.0,0.0,108.2,300.0,Yes
322,D19,Network Traffic,IoT19,Fog2,Fog,IoT -> Fog,30.2,48.0,0.0,78.2,150.0,Yes
323,D14,Data Analytics,IoT14,Edge1,Edge,IoT -> Edge,22.8,23.0,0.0,45.8,500.0,Yes
324,D10,Data Analytics,IoT10,Fog3,Fog,IoT -> Fog,33.0,75.0,0.0,108.0,500.0,Yes
325,D18,Image Processing,IoT18,Fog1,Fog,IoT -> Fog,28.6,72.0,3.57,104.17,300.0,Yes
326,D18,Data Analytics,IoT18,Fog2,Fog,IoT -> Fog,33.2,45.0,4.15,82.35,500.0,Yes
327,D11,Network Traffic,IoT11,Fog3,Fog,IoT -> Fog,44.2,46.0,5.52,95.72,150.0,Yes
328,D10,Video Processing,IoT10,Fog1,Fog,IoT -> Fog,57.2,58.0,14.3,129.5,120.0,No
329,D2,Network Traffic,IoT2,Fog2,Fog,IoT -> Fog,51.2,59.0,12.8,123.0,150.0,Yes
330,D18,Data Analytics,IoT18,Edge2,Edge,IoT -> Edge,67.2,45.0,0.0,112.2,500.0,Yes
331,D4,Video Processing,IoT4,IoT4,IoT,IoT (local),71.0,0.0,0.0,71.0,120.0,Yes
332,D15,Network Traffic,IoT15,Fog3,Fog,IoT -> Fog,37.2,42.0,9.3,88.5,150.0,Yes
333,D13,Network Traffic,IoT13,Edge3,Edge,IoT -> Edge,51.6,41.0,0.0,92.6,150.0,Yes
334,D3,Data Analytics,IoT3,Edge4,Edge,IoT -> Edge,47.2,24.0,0.0,71.2,500.0,Yes
335,D8,Data Analytics,IoT8,Edge5,Edge,IoT -> Edge,80.4,57.0,0.0,137.4,500.0,Yes
336,D5,Network Traffic,IoT5,Edge6,Edge,IoT -> Edge,28.0,38.0,0.0,66.0,150.0,Yes
337,D16,Data Analytics,IoT16,Edge7,Edge,IoT -> Edge,97.6,30.0,0.0,127.6,500.0,Yes
338,D15,Image Processing,IoT15,Edge8,Edge,IoT -> Edge,28.0,32.0,0.0,60.0,300.0,Yes
339,D5,Data Analytics,IoT5,Cloud1,Cloud,IoT -> Cloud,26.5,96.0,0.0,122.5,500.0,Yes
340,D15,Image Processing,IoT15,Fog1,Fog,IoT -> Fog,25.2,76.0,9.45,110.65,300.0,Yes
341,D5,Video Processing,IoT5,Fog1,Fog,IoT -> Fog,50.6,57.0,0.0,107.6,120.0,Yes
342,D3,Network Traffic,IoT3,Fog2,Fog,IoT -> Fog,36.6,54.0,0.0,90.6,150.0,Yes
343,D16,Data Analytics,IoT16,Fog3,Fog,IoT -> Fog,36.0,51.0,0.0,87.0,500.0,Yes
344,D4,Data Analytics,IoT4,Fog1,Fog,IoT -> Fog,46.8,72.0,5.85,124.65,500.0,Yes
345,D6,Image Processing,IoT6,Edge1,Edge,IoT -> Edge,51.6,42.0,0.0,93.6,300.0,Yes
346,D1,Data Analytics,IoT1,Fog2,Fog,IoT -> Fog,51.2,76.0,6.4,133.6,500.0,Yes
347,D20,Image Processing,IoT20,Fog3,Fog,IoT -> Fog,45.2,52.0,5.65,102.85,300.0,Yes
348,D16,Data Analytics,IoT16,Fog1,Fog,IoT -> Fog,41.4,58.0,10.35,109.75,500.0,Yes
349,D4,Video Processing,IoT4,Edge2,Edge,IoT -> Edge,33.2,41.0,0.0,74.2,120.0,Yes
350,D5,Video Processing,IoT5,Edge3,Edge,IoT -> Edge,20.4,21.0,0.0,41.4,120.0,Yes
351,D16,Network Traffic,IoT16,Edge4,Edge,IoT -> Edge,34.0,48.0,0.0,82.0,150.0,Yes
352,D11,Network Traffic,IoT11,Fog2,Fog,IoT -> Fog,51.0,81.0,12.75,144.75,150.0,Yes
353,D4,Data Analytics,IoT4,IoT4,IoT,IoT (local),53.0,0.0,0.0,53.0,500.0,Yes
354,D16,Network Traffic,IoT16,Edge5,Edge,IoT -> Edge,20.8,24.0,0.0,44.8,150.0,Yes
355,D6,Image Processing,IoT6,IoT6,IoT,IoT (local),67.0,0.0,0.0,67.0,300.0,Yes
356,D3,Data Analytics,IoT3,Edge6,Edge,IoT -> Edge,32.0,31.0,0.0,63.0,500.0,Yes
357,D3,Data Analytics,IoT3,Edge7,Edge,IoT -> Edge,41.6,32.0,0.0,73.6,500.0,Yes
358,D9,Video Processing,IoT9,Edge8,Edge,IoT -> Edge,71.6,29.0,0.0,100.6,120.0,Yes
359,D14,Data Analytics,IoT14,Fog3,Fog,IoT -> Fog,33.6,83.0,8.4,125.0,500.0,Yes
360,D3,Video Processing,IoT3,Fog1,Fog,IoT -> Fog,32.2,45.0,12.07,89.27,120.0,Yes
361,D14,Data Analytics,IoT14,Fog1,Fog,IoT -> Fog,38.6,72.0,0.0,110.6,500.0,Yes
362,D16,Video Processing,IoT16,Fog2,Fog,IoT -> Fog,24.4,63.0,0.0,87.4,120.0,Yes
363,D1,Data Analytics,IoT1,Fog3,Fog,IoT -> Fog,35.0,40.0,0.0,75.0,500.0,Yes
364,D2,Image Processing,IoT2,Edge1,Edge,IoT -> Edge,56.8,55.0,0.0,111.8,300.0,Yes
365,D1,Network Traffic,IoT1,Edge2,Edge,IoT -> Edge,24.8,35.0,0.0,59.8,150.0,Yes
366,D4,Data Analytics,IoT4,Fog1,Fog,IoT -> Fog,33.0,46.0,4.12,83.12,500.0,Yes
367,D8,Video Processing,IoT8,Fog2,Fog,IoT -> Fog,35.6,38.0,4.45,78.05,120.0,Yes
368,D15,Data Analytics,IoT15,Edge3,Edge,IoT -> Edge,24.0,28.0,0.0,52.0,500.0,Yes
369,D10,Image Processing,IoT10,IoT10,IoT,IoT (local),64.0,0.0,0.0,64.0,300.0,Yes
370,D20,Image Processing,IoT20,IoT20,IoT,IoT (local),66.0,0.0,0.0,66.0,300.0,Yes
371,D5,Video Processing,IoT5,Edge4,Edge,IoT -> Edge,51.2,30.0,0.0,81.2,120.0,Yes
372,D14,Data Analytics,IoT14,Fog3,Fog,IoT -> Fog,39.2,76.0,4.9,120.1,500.0,Yes
373,D3,Network Traffic,IoT3,Fog1,Fog,IoT -> Fog,38.6,77.0,9.65,125.25,150.0,Yes
374,D10,Data Analytics,IoT10,Edge5,Edge,IoT -> Edge,68.4,54.0,0.0,122.4,500.0,Yes
375,D18,Network Traffic,IoT18,Edge6,Edge,IoT -> Edge,49.6,52.0,0.0,101.6,150.0,Yes
376,D3,Image Processing,IoT3,Edge7,Edge,IoT -> Edge,62.4,60.0,0.0,122.4,300.0,Yes
377,D15,Data Analytics,IoT15,Edge8,Edge,IoT -> Edge,36.4,50.0,0.0,86.4,500.0,Yes
378,D14,Image Processing,IoT14,Fog2,Fog,IoT -> Fog,27.2,52.0,6.8,86.0,300.0,Yes
379,D3,Video Processing,IoT3,Fog3,Fog,IoT -> Fog,53.8,48.0,13.45,115.25,120.0,Yes
380,D15,Network Traffic,IoT15,Fog1,Fog,IoT -> Fog,26.8,64.0,10.05,100.85,150.0,Yes
381,D15,Data Analytics,IoT15,Edge1,Edge,IoT -> Edge,46.4,37.0,0.0,83.4,500.0,Yes
382,D20,Image Processing,IoT20,Fog1,Fog,IoT -> Fog,43.6,51.0,0.0,94.6,300.0,Yes
383,D10,Image Processing,IoT10,Fog2,Fog,IoT -> Fog,32.2,59.0,0.0,91.2,300.0,Yes
384,D8,Video Processing,IoT8,Fog3,Fog,IoT -> Fog,36.2,42.0,0.0,78.2,120.0,Yes
385,D13,Network Traffic,IoT13,Fog1,Fog,IoT -> Fog,51.0,56.0,6.37,113.37,150.0,Yes
386,D10,Video Processing,IoT10,IoT10,IoT,IoT (local),75.0,0.0,0.0,75.0,120.0,Yes
387,D11,Network Traffic,IoT11,Fog2,Fog,IoT -> Fog,41.8,79.0,5.22,126.02,150.0,Yes
388,D4,Data Analytics,IoT4,Fog3,Fog,IoT -> Fog,43.2,52.0,5.4,100.6,500.0,Yes
389,D2,Network Traffic,IoT2,Edge2,Edge,IoT -> Edge,29.6,16.0,0.0,45.6,150.0,Yes
390,D1,Video Processing,IoT1,Edge3,Edge,IoT -> Edge,62.8,42.0,0.0,104.8,120.0,Yes
391,D12,Data Analytics,IoT12,Edge4,Edge,IoT -> Edge,47.6,42.0,0.0,89.6,500.0,Yes
392,D2,Network Traffic,IoT2,IoT2,IoT,IoT (local),72.0,0.0,0.0,72.0,150.0,Yes
393,D4,Data Analytics,IoT4,Fog1,Fog,IoT -> Fog,49.4,41.0,12.35,102.75,500.0,Yes
394,D9,Image Processing,IoT9,Edge5,Edge,IoT -> Edge,47.6,24.0,0.0,71.6,300.0,Yes
395,D5,Network Traffic,IoT5,Edge6,Edge,IoT -> Edge,46.8,54.0,0.0,100.8,150.0,Yes
396,D13,Video Processing,IoT13,Fog2,Fog,IoT -> Fog,59.6,46.0,14.9,120.5,120.0,No
397,D16,Video Processing,IoT16,Fog3,Fog,IoT -> Fog,45.2,54.0,11.3,110.5,120.0,Yes
398,D18,Image Processing,IoT18,Edge7,Edge,IoT -> Edge,89.2,62.0,0.0,151.2,300.0,Yes
399,D16,Data Analytics,IoT16,IoT16,IoT,IoT (local),68.0,0.0,0.0,68.0,500.0,Yes
400,D6,Image Processing,IoT6,Edge8,Edge,IoT -> Edge,66.0,35.0,0.0,101.0,300.0,Yes
401,D17,Video Processing,IoT17,Fog1,Fog,IoT -> Fog,54.8,78.0,0.0,132.8,120.0,No
402,D4,Data Analytics,IoT4,IoT4,IoT,IoT (local),52.0,0.0,0.0,52.0,500.0,Yes
403,D6,Network Traffic,IoT6,Fog2,Fog,IoT -> Fog,28.6,66.0,0.0,94.6,150.0,Yes
404,D4,Network Traffic,IoT4,Fog3,Fog,IoT -> Fog,58.8,48.0,0.0,106.8,150.0,Yes
405,D10,Data Analytics,IoT10,Fog1,Fog,IoT -> Fog,50.8,52.0,6.35,109.15,500.0,Yes
406,D12,Data Analytics,IoT12,Fog2,Fog,IoT -> Fog,52.0,69.0,6.5,127.5,500.0,Yes
407,D13,Network Traffic,IoT13,Fog3,Fog,IoT -> Fog,32.8,81.0,4.1,117.9,150.0,Yes
408,D8,Video Processing,IoT8,Fog1,Fog,IoT -> Fog,54.4,53.0,13.6,121.0,120.0,No
409,D11,Video Processing,IoT11,Fog2,Fog,IoT -> Fog,47.2,74.0,11.8,133.0,120.0,No
410,D20,Video Processing,IoT20,Fog3,Fog,IoT -> Fog,58.6,69.0,14.65,142.25,120.0,No
411,D5,Network Traffic,IoT5,Edge1,Edge,IoT -> Edge,63.2,38.0,0.0,101.2,150.0,Yes
412,D16,Image Processing,IoT16,Edge2,Edge,IoT -> Edge,94.8,51.0,0.0,145.8,300.0,Yes
413,D5,Network Traffic,IoT5,Edge3,Edge,IoT -> Edge,93.2,25.0,0.0,118.2,150.0,Yes
414,D16,Video Processing,IoT16,Edge4,Edge,IoT -> Edge,57.6,38.0,0.0,95.6,120.0,Yes
415,D1,Image Processing,IoT1,Edge5,Edge,IoT -> Edge,45.6,53.0,0.0,98.6,300.0,Yes
416,D9,Image Processing,IoT9,Edge6,Edge,IoT -> Edge,47.6,59.0,0.0,106.6,300.0,Yes
417,D18,Video Processing,IoT18,Edge7,Edge,IoT -> Edge,45.2,55.0,0.0,100.2,120.0,Yes
418,D3,Data Analytics,IoT3,Cloud1,Cloud,IoT -> Cloud,28.9,87.0,0.0,115.9,500.0,Yes
419,D3,Image Processing,IoT3,Edge8,Edge,IoT -> Edge,34.4,45.0,0.0,79.4,300.0,Yes
420,D6,Data Analytics,IoT6,Fog1,Fog,IoT -> Fog,23.2,44.0,8.7,75.9,500.0,Yes
421,D17,Network Traffic,IoT17,Edge1,Edge,IoT -> Edge,32.4,30.0,0.0,62.4,150.0,Yes
422,D18,Video Processing,IoT18,Fog1,Fog,IoT -> Fog,42.8,83.0,0.0,125.8,120.0,No
423,D8,Image Processing,IoT8,Fog2,Fog,IoT -> Fog,54.8,71.0,0.0,125.8,300.0,Yes
424,D6,Image Processing,IoT6,Edge2,Edge,IoT -> Edge,38.8,49.0,0.0,87.8,300.0,Yes
425,D10,Video Processing,IoT10,Edge3,Edge,IoT -> Edge,44.8,43.0,0.0,87.8,120.0,Yes
426,D3,Image Processing,IoT3,Fog3,Fog,IoT -> Fog,27.4,44.0,0.0,71.4,300.0,Yes
427,D4,Video Processing,IoT4,Fog1,Fog,IoT -> Fog,59.4,49.0,7.42,115.82,120.0,Yes
428,D15,Image Processing,IoT15,IoT15,IoT,IoT (local),51.0,0.0,0.0,51.0,300.0,Yes
429,D13,Image Processing,IoT13,Fog2,Fog,IoT -> Fog,50.8,51.0,6.35,108.15,300.0,Yes
430,D8,Video Processing,IoT8,Fog3,Fog,IoT -> Fog,48.8,46.0,6.1,100.9,120.0,Yes
431,D11,Image Processing,IoT11,Fog1,Fog,IoT -> Fog,45.8,82.0,11.45,139.25,300.0,Yes
432,D9,Image Processing,IoT9,Fog2,Fog,IoT -> Fog,40.2,70.0,10.05,120.25,300.0,Yes
433,D20,Video Processing,IoT20,Edge4,Edge,IoT -> Edge,33.6,40.0,0.0,73.6,120.0,Yes
434,D16,Video Processing,IoT16,Edge5,Edge,IoT -> Edge,60.4,23.0,0.0,83.4,120.0,Yes
435,D16,Data Analytics,IoT16,Cloud1,Cloud,IoT -> Cloud,29.2,99.0,0.0,128.2,500.0,Yes
436,D8,Network Traffic,IoT8,Fog3,Fog,IoT -> Fog,55.6,74.0,13.9,143.5,150.0,Yes
437,D11,Data Analytics,IoT11,Cloud1,Cloud,IoT -> Cloud,29.1,103.0,0.97,133.07,500.0,Yes
438,D12,Network Traffic,IoT12,Fog1,Fog,IoT -> Fog,52.6,66.0,19.72,138.32,150.0,Yes
439,D1,Image Processing,IoT1,Fog2,Fog,IoT -> Fog,55.2,49.0,20.7,124.9,300.0,Yes
440,D8,Data Analytics,IoT8,Edge6,Edge,IoT -> Edge,48.0,28.0,0.0,76.0,500.0,Yes
441,D19,Image Processing,IoT19,Edge1,Edge,IoT -> Edge,46.8,27.0,0.0,73.8,300.0,Yes
442,D7,Data Analytics,IoT7,Fog1,Fog,IoT -> Fog,45.4,76.0,0.0,121.4,500.0,Yes
443,D19,Video Processing,IoT19,Fog2,Fog,IoT -> Fog,41.0,42.0,0.0,83.0,120.0,Yes
444,D3,Network Traffic,IoT3,Fog3,Fog,IoT -> Fog,46.8,51.0,0.0,97.8,150.0,Yes
445,D18,Network Traffic,IoT18,IoT18,IoT,IoT (local),72.0,0.0,0.0,72.0,150.0,Yes
446,D4,Network Traffic,IoT4,Fog1,Fog,IoT -> Fog,41.0,65.0,5.12,111.12,150.0,Yes
447,D9,Network Traffic,IoT9,IoT9,IoT,IoT (local),73.0,0.0,0.0,73.0,150.0,Yes
448,D7,Image Processing,IoT7,Fog2,Fog,IoT -> Fog,37.0,64.0,4.62,105.62,300.0,Yes
449,D10,Network Traffic,IoT10,IoT10,IoT,IoT (local),65.0,0.0,0.0,65.0,150.0,Yes
450,D18,Video Processing,IoT18,Edge2,Edge,IoT -> Edge,54.4,40.0,0.0,94.4,120.0,Yes
451,D4,Video Processing,IoT4,Fog3,Fog,IoT -> Fog,50.6,54.0,6.32,110.92,120.0,Yes
452,D18,Data Analytics,IoT18,Fog1,Fog,IoT -> Fog,54.4,62.0,13.6,130.0,500.0,Yes
453,D9,Network Traffic,IoT9,Edge3,Edge,IoT -> Edge,27.6,27.0,0.0,54.6,150.0,Yes
454,D12,Video Processing,IoT12,Fog2,Fog,IoT -> Fog,48.8,81.0,12.2,142.0,120.0,No
455,D4,Network Traffic,IoT4,Fog3,Fog,IoT -> Fog,38.2,51.0,9.55,98.75,150.0,Yes
456,D13,Network Traffic,IoT13,Edge4,Edge,IoT -> Edge,94.4,35.0,0.0,129.4,150.0,Yes
457,D4,Video Processing,IoT4,Edge5,Edge,IoT -> Edge,42.8,41.0,0.0,83.8,120.0,Yes
458,D3,Image Processing,IoT3,Edge6,Edge,IoT -> Edge,38.4,19.0,0.0,57.4,300.0,Yes
459,D5,Data Analytics,IoT5,Cloud1,Cloud,IoT -> Cloud,29.5,107.0,0.0,136.5,500.0,Yes
460,D8,Data Analytics,IoT8,Edge7,Edge,IoT -> Edge,50.8,52.0,0.0,102.8,500.0,Yes
461,D11,Image Processing,IoT11,Edge1,Edge,IoT -> Edge,41.2,56.0,0.0,97.2,300.0,Yes
462,D2,Data Analytics,IoT2,IoT2,IoT,IoT (local),84.0,0.0,0.0,84.0,500.0,Yes
463,D3,Network Traffic,IoT3,Edge2,Edge,IoT -> Edge,45.6,29.0,0.0,74.6,150.0,Yes
464,D18,Video Processing,IoT18,Fog1,Fog,IoT -> Fog,55.8,39.0,0.0,94.8,120.0,Yes
465,D8,Video Processing,IoT8,Edge3,Edge,IoT -> Edge,42.4,53.0,0.0,95.4,120.0,Yes
466,D1,Image Processing,IoT1,IoT1,IoT,IoT (local),93.0,0.0,0.0,93.0,300.0,Yes
467,D11,Data Analytics,IoT11,Fog2,Fog,IoT -> Fog,56.4,55.0,0.0,111.4,500.0,Yes
468,D10,Video Processing,IoT10,Edge4,Edge,IoT -> Edge,26.0,20.0,0.0,46.0,120.0,Yes
469,D1,Network Traffic,IoT1,Fog3,Fog,IoT -> Fog,50.2,62.0,0.0,112.2,150.0,Yes
470,D11,Network Traffic,IoT11,Fog1,Fog,IoT -> Fog,50.0,78.0,6.25,134.25,150.0,Yes
471,D5,Network Traffic,IoT5,IoT5,IoT,IoT (local),74.0,0.0,0.0,74.0,150.0,Yes
472,D1,Data Analytics,IoT1,Edge5,Edge,IoT -> Edge,20.4,30.0,0.0,50.4,500.0,Yes
473,D7,Data Analytics,IoT7,Edge6,Edge,IoT -> Edge,49.2,22.0,0.0,71.2,500.0,Yes
474,D10,Video Processing,IoT10,Fog2,Fog,IoT -> Fog,40.8,46.0,5.1,91.9,120.0,Yes
